time,direction,price,lots,reason,realized_pnl,available_after
2020-09-14 20:30:00,SHORT,68930.0,196,STOP,-1118207.44,18906579.269000012
2020-09-16 11:30:00,LONG,68839.0,181,EMA_REVERSAL,-509026.0285,18397553.24050001
2020-09-22 18:30:00,SHORT,61280.0,180,STOP,5900628.15,24298181.39050001
2020-09-24 19:15:00,SHORT,57661.0,132,STOP,1220893.014,25519074.404500008
2020-09-25 15:45:00,LONG,58729.0,132,STOP,-662328.348,24856746.056500006
2020-09-28 15:45:00,SHORT,58826.0,264,STOP,-1400503.896,23456242.160500005
2020-09-30 11:30:00,LONG,60860.0,259,STOP,579679.814,24035921.974500004
2020-10-01 20:45:00,SHORT,61075.0,264,STOP,-1490698.572,22545223.402500004
2020-10-05 09:15:00,LONG,60433.0,244,STOP,-1209686.486,21335536.916500002
2020-10-07 20:15:00,SHORT,60564.0,238,STOP,-1128197.112,20207339.804500002
2020-10-08 20:00:00,LONG,60526.0,220,STOP,-730954.4,19476385.404500004
2020-10-12 20:00:00,LONG,62889.0,209,STOP,798910.024,20275295.428500004
2020-10-13 09:00:00,LONG,62229.0,107,STOP,-656816.504,19618478.924500003
2020-10-14 18:00:00,SHORT,61813.0,210,STOP,330546.93,19949025.854500003
2020-10-15 21:00:00,SHORT,61390.0,107,STOP,-308519.52,19640506.334500004
2020-10-22 19:45:00,LONG,62227.0,212,STOP,487401.674,20127908.008500002
2020-10-29 20:00:00,SHORT,60600.0,107,STOP,694558.1325,20822466.141000003
2020-10-30 17:00:00,SHORT,60674.0,53,STOP,-219994.043,20602472.098
2020-11-04 12:45:00,LONG,61142.0,106,STOP,-340719.51,20261752.588
2020-11-05 11:15:00,SHORT,62362.0,212,EMA_REVERSAL,-672292.3859999999,19589460.202
2020-11-09 17:15:00,LONG,64296.0,208,STOP,1711764.704,21301224.906
2020-11-10 09:00:00,SHORT,62299.0,110,STOP,-846960.675,20454264.231
2020-11-10 20:30:00,SHORT,62753.0,220,STOP,-1035518.66,19418745.571
2020-11-11 20:15:00,SHORT,61993.0,210,STOP,-491469.825,18927275.746
2020-11-16 17:15:00,LONG,62676.0,200,STOP,-345698.0,18581577.746
2020-11-18 11:30:00,LONG,62712.0,194,STOP,-1029106.077,17552471.669
2020-11-20 19:30:00,SHORT,62500.0,185,STOP,371265.6775,17923737.346499998
2020-11-25 23:30:00,SHORT,60499.0,95,STOP,446693.5625,18370430.908999998
2020-12-07 13:30:00,LONG,63279.0,95,EMA_REVERSAL,1098075.2175,19468506.1265
2020-12-09 09:00:00,LONG,64192.0,198,STOP,-1194796.944,18273709.1825
2020-12-15 12:15:00,SHORT,64030.0,190,EMA_REVERSAL,-423980.82,17849728.3625
2020-12-21 15:15:00,LONG,69400.0,185,STOP,4711857.685,22561586.0475
2020-12-23 20:00:00,SHORT,67373.0,190,STOP,-885548.39,21676037.6575
2020-12-29 12:00:00,LONG,67992.0,209,STOP,-1168433.6235,20507604.033999998
2020-12-31 23:45:00,SHORT,68079.0,200,MONTH_END,50125.3,20557729.334
2021-01-06 21:00:00,LONG,69388.0,195,STOP,-699889.71,19857839.623999998
2021-01-11 20:45:00,SHORT,65350.0,193,STOP,2759822.8,22617662.424
2021-01-14 09:00:00,LONG,65216.0,228,STOP,-995652.972,21622009.452
2021-01-14 20:00:00,SHORT,66132.0,221,STOP,-1051303.188,20570706.264
2021-01-15 19:00:00,LONG,64937.0,208,STOP,-1013212.408,19557493.856
2021-01-22 15:45:00,LONG,66130.0,196,EMA_REVERSAL,-98682.374,19458811.481999997
2021-01-28 20:15:00,LONG,68520.0,189,STOP,-128652.77249999999,19330158.709499996
2021-01-29 23:45:00,LONG,69777.0,186,MONTH_END,691333.449,20021492.158499997
2021-02-02 09:00:00,LONG,71931.0,95,STOP,-651014.4325,19370477.725999996
2021-02-03 19:15:00,SHORT,68951.0,187,STOP,-262079.47149999999,19108398.254499994
2021-02-05 13:30:00,SHORT,68082.0,187,STOP,-311132.096,18797266.158499993
2021-02-10 10:45:00,LONG,69638.0,183,EMA_REVERSAL,1139727.0195,19936993.177999992
2021-02-15 09:00:00,SHORT,69848.0,95,STOP,-175185.0825,19761808.095499992
2021-02-18 09:00:00,SHORT,69405.0,190,STOP,-983577.56,18778230.535499994
2021-02-19 19:15:00,SHORT,69600.0,182,STOP,-1118757.276,17659473.259499993
2021-02-26 09:45:00,LONG,70179.0,169,STOP,745433.481,18404906.740499992
2021-02-26 21:45:00,SHORT,69100.0,87,MONTH_END,-61522.05,18343384.69049999
2021-03-02 22:45:00,SHORT,69180.0,174,STOP,-96993.69,18246391.00049999
